%time,field.frameNumber,field.markerNumber,field.occluded,field.x_m,field.y_m,field.z_m
1690209907135064401,707010,0,0,0.0808865093192251,0.1690817849302463,0.48043189756444965
1690209907135075455,707010,1,0,0.20337404472777226,0.16790266742101392,0.475634719002486
1690209907135078415,707010,2,0,0.20218306787836754,-0.004477264708033274,0.475605235297219
1690209907135101336,707010,3,0,0.08025934879733776,-0.0031870951456916857,0.48062740991419994
1690209907135135409,707010,4,0,0.14160820618370537,0.0024044719242867956,0.4783931750226723
1690209907135149475,707010,5,0,0.14183013264175612,0.1612717326969016,0.4790588750987457
1690209907135174777,707010,6,0,0.12840645362510236,0.10201586926781608,0.11352254244561209
1690209907135191800,707010,7,0,0.12831524473317144,0.06550171348400777,0.11323125202360938
1690209907135198173,707010,8,0,0.13548313052749467,0.08324096395456522,0.0709208268245726
1690209907142074481,707011,0,0,0.0809367006122775,0.16905449135240405,0.48043739377280553
1690209907142086083,707011,1,0,0.2034238519525598,0.16790818164762839,0.4756224896907339
1690209907142093111,707011,2,0,0.20227882161657207,-0.0044720607861350745,0.47558756167610705
1690209907142113640,707011,3,0,0.08035548946644093,-0.003214556056958543,0.4806273840140275
1690209907142122098,707011,4,0,0.14170253086686774,0.002393437357762295,0.4783844725721236
1690209907142194396,707011,5,0,0.14188220475657526,0.16126072989743484,0.4790553166266698
1690209907142227833,707011,6,0,0.12842153549771598,0.10201318565575215,0.11351899574596104
1690209907142235854,707011,7,0,0.12834001799617795,0.06549901635424482,0.1132265288351097
1690209907142265240,707011,8,0,0.1354970647936479,0.08324155381844252,0.07091564701953791
1690209907151084147,707012,0,0,0.08098410890071484,0.16902880892648153,0.4804527078308845
1690209907151105579,707012,1,0,0.2034707299309784,0.1679160911585454,0.4756164801197912
1690209907151145015,707012,2,0,0.20237256827475952,-0.004464453924337363,0.47557160401629833
1690209907151152134,707012,3,0,0.08044977520405634,-0.0032404010421295767,0.4806326586803941
1690209907151158574,707012,4,0,0.14179489918548463,0.00238440656029276,0.47837943130607463
1690209907151172461,707012,5,0,0.1419314893351118,0.16125170235481617,0.47905959555425487
1690209907151190165,707012,6,0,0.12842349126026292,0.10202199922922045,0.11352212927448392
1690209907151221555,707012,7,0,0.12835185215862888,0.06550782637504289,0.11322752718606403
1690209907151232037,707012,8,0,0.13549673068184123,0.08325479795651854,0.07091644843456266
1690209907158707304,707013,0,0,0.08102439798350866,0.1690043379729958,0.4804562249262168
1690209907158734626,707013,1,0,0.20351057480569715,0.16792456290762317,0.4756013156574662
1690209907158746622,707013,2,0,0.2024587328291723,-0.004456270843990339,0.4755557139622541
1690209907158765650,707013,3,0,0.0805363882990893,-0.003265010297304954,0.4806353647898758
1690209907158786880,707013,4,0,0.14187965415277023,0.0023762949476256383,0.47837281313309604
1690209907158802957,707013,5,0,0.14197365315639268,0.16124361821529437,0.47905377957236445
1690209907158918647,707013,6,0,0.12842583849121902,0.10201216572593708,0.11351807030120449
1690209907158934998,707013,7,0,0.12836396748797846,0.06549797645225766,0.11322328997449788
1690209907158967508,707013,8,0,0.1354976249166312,0.08324708501341288,0.07091121425708746
1690209907167803384,707014,0,0,0.08105969019574039,0.1689789440428394,0.4804647712749845
1690209907167820010,707014,1,0,0.2035453671329712,0.16793465308498243,0.4755895305281385
1690209907167829177,707014,2,0,0.20254329335715335,-0.0044464760776558735,0.4755400055723105
1690209907167843535,707014,3,0,0.08062145374828233,-0.0032905421634974205,0.4806398970523062
1690209907167903491,707014,4,0,0.14196271214700334,0.0023685298908252433,0.47836730997877536
1690209907167992739,707014,5,0,0.14201095042268122,0.16123585747894878,0.4790520372344492
1690209907168006916,707014,6,0,0.12841963846720686,0.10200916702392336,0.11351717107850433
1690209907168021741,707014,7,0,0.12836826222463868,0.06549496841012231,0.1132215330401361
1690209907168030219,707014,8,0,0.13548977929916814,0.08324713989638169,0.07090869720252596
1690209907175428728,707015,0,0,0.08108841048740231,0.16895316850559045,0.4804724341945971
1690209907175450709,707015,1,0,0.20357381833813146,0.1679448781796295,0.47558287542358807
1690209907175481896,707015,2,0,0.20262214844169735,-0.004436534691557185,0.47552704620799985
1690209907175501141,707015,3,0,0.0807005714353418,-0.003316444888554727,0.4806411941379514
1690209907175514637,707015,4,0,0.14203990694675594,0.002360649852855303,0.4783616668236427
1690209907175525435,707015,5,0,0.14204176730388787,0.16122795916221852,0.4790523061508197
1690209907175547268,707015,6,0,0.1284251583663252,0.10201090016294344,0.11351682102921243
1690209907175655183,707015,7,0,0.12838442554551768,0.06549669911375043,0.1132198288532849
1690209907175681729,707015,8,0,0.13549581776448824,0.08325252709451214,0.0709068243751521
1690209907184028083,707016,0,0,0.08111429441390691,0.16892786168564058,0.48048115371289496
1690209907184041389,707016,1,0,0.20359934261950602,0.1679536498726357,0.4755757028537481
1690209907184048142,707016,2,0,0.20269539191000968,-0.004428017884708225,0.47551413767607087
1690209907184079169,707016,3,0,0.08077417264816608,-0.0033418581171751924,0.4806441084944836
1690209907184090858,707016,4,0,0.14211163836013238,0.0023522967836318146,0.47835683272177254
1690209907184102107,707016,5,0,0.14206960334943455,0.1612195769775911,0.4790528716358932
1690209907184131974,707016,6,0,0.12842206182900706,0.10201116155693221,0.11351713993187243
1690209907184187176,707016,7,0,0.12839140005892896,0.06549696073464023,0.1132189119296187
1690209907184245124,707016,8,0,0.13549239742899,0.08325619363584424,0.07090559065071061
1690209907192356582,707017,0,0,0.08113202657579112,0.16890748046293755,0.4804861151554088
1690209907192401649,707017,1,0,0.20361686534841966,0.16796777429645998,0.47556871809192935
1690209907192412041,707017,2,0,0.20276141528250272,-0.0044141405007977995,0.4755058533539465
1690209907192421613,707017,3,0,0.0808403958115544,-0.0033623295287656275,0.48064771632145753
1690209907192429950,707017,4,0,0.14217603357973924,0.002349103338823227,0.47835450795096385
1690209907192447260,707017,5,0,0.1420893626332508,0.16121635982572358,0.47905182983539873
1690209907192458280,707017,6,0,0.12842285351621216,0.10200703897414398,0.11351695345365115
1690209907192464881,707017,7,0,0.1284024374369271,0.06549283336323039,0.11321843450320898
