field.frameNumber,field.x_m,field.y_m,field.z_m
707010,0.124216192437605,0.084354719362646,2.08240773583723E-05
707011,0.124219720834504,0.084354594436886,2.0823833299044E-05
707012,0.124206676516625,0.084368956567341,2.08290232737163E-05
707013,0.124196591895882,0.084358555148044,2.08264022559246E-05
707014,0.124176696148534,0.084357025156388,2.08270892144147E-05
707015,0.124174165029745,0.084361739312874,2.08286907832367E-05
707016,0.124161249966988,0.084364679484767,2.08303499981133E-05
707017,0.124155941554777,0.084360269649456,2.0829298943037E-05
707018,0.124151140253849,0.0843607641734,2.08297311543593E-05
707019,0.124147000210164,0.084361885009387,2.08303180408986E-05
707020,0.124145445146992,0.084363391084813,2.08308731871609E-05
707021,0.124142081865897,0.084362491100718,2.08307914835171E-05
707022,0.124140387169485,0.084370881129111,2.08334781955921E-05
707023,0.124133490680229,0.084361430299168,2.08309646931859E-05
707024,0.124128466747184,0.084362188315445,2.08314911496199E-05
707025,0.124141255324215,0.08435865290065,2.08296556929444E-05
707026,0.124134655448961,0.084352134499659,2.0828029453579E-05
707027,0.124134684431721,0.084347144678629,2.0826488599468E-05
707028,0.12413546337625,0.084350862634962,2.08275900721033E-05
707029,0.124125241757872,0.084338273762105,2.08243022900012E-05
707030,0.12412440536432,0.084329557511981,2.08216623840407E-05
707031,0.124129577768443,0.084320966409956,2.08187110766755E-05
707032,0.124121488250653,0.084312352575992,2.08165252474357E-05
707033,0.124125039229685,0.084306176996192,2.08144134808963E-05
707034,0.124125698902795,0.084296153902462,2.08112833205987E-05
707035,0.124137965314724,0.084291932796028,2.08092667705051E-05
707036,0.124132591583702,0.084281746693673,2.08064377663075E-05
707037,0.12413133421782,0.084270953497013,2.08031817239829E-05
707038,0.124136734945273,0.084257061028432,2.07985818513334E-05
707039,0.124142308939564,0.084250903214758,2.07963577270598E-05
707040,0.124148330714569,0.084235188880526,2.07911597044363E-05
707041,0.12416297750597,0.084227571092184,2.07879567558633E-05
707042,0.124155910088093,0.084207585423571,2.07822036211724E-05
707043,0.124159564252367,0.084186456595371,2.07754733476118E-05
707044,0.12417584090653,0.084175180318565,2.07710469598554E-05
707045,0.124184973951592,0.084163941576818,2.0767048256376E-05
707046,0.124193051651651,0.084145578159247,2.07609133391351E-05
707047,0.124197137735352,0.084126545280405,2.07548044259265E-05
707048,0.124204327462737,0.084113445294486,2.07503447965385E-05
707049,0.124212305902235,0.084099125348881,2.07454629154724E-05
707050,0.124230475855602,0.084088963713824,2.07412700693466E-05
707051,0.124234025160516,0.084075770514394,2.07369937369473E-05
707052,0.124241680085065,0.084061329557185,2.07320933729438E-05
707053,0.124243991755519,0.084046141283592,2.0727273728427E-05
707054,0.124251524036144,0.084032557332069,2.0722644860971E-05
707055,0.124261872462523,0.084026512329974,2.07201774302668E-05
707056,0.12427060205528,0.084011882847457,2.07151563151875E-05
707057,0.12428384007445,0.083998107996444,2.07101362111883E-05
707058,0.124287604806482,0.083983394365668,2.07053783364275E-05
707059,0.12429027407388,0.083974100564654,2.07023560783171E-05
707060,0.124294537456971,0.083960438131598,2.06978934114144E-05
707061,0.124304914512823,0.083945326127143,2.06926274949337E-05
707062,0.12431794774696,0.083931032960481,2.0687459438673E-05
707063,0.124318753645684,0.083920420638925,2.06841390068546E-05
707064,0.124325575986808,0.083914210575551,2.06818260510833E-05
707065,0.12432165112823,0.083899114183025,2.06773980179764E-05
707066,0.124320722345903,0.083886104850295,2.06734392444452E-05
707067,0.124335299303063,0.08388126546622,2.06710973931767E-05
707068,0.124333686398174,0.083872537238131,2.06684990233796E-05
707069,0.12433658553749,0.083866502764567,2.06664687514846E-05
707070,0.124333767376856,0.083857052943352,2.06637180029112E-05
707071,0.124340448144707,0.083851885586576,2.06617349277627E-05
707072,0.12433426398818,0.083838680118294,2.06580217727015E-05
707073,0.124331652216239,0.08383391095286,2.06567028027682E-05
707074,0.124330832256081,0.083827352127435,2.06547274213542E-05
707075,0.124328195985297,0.083819873200001,2.0652574022284E-05
707076,0.124324910084931,0.083811572736645,2.06502050508206E-05
707077,0.124324146860731,0.083805223262846,2.06482909415051E-05
707078,0.124320677357158,0.08380292427596,2.06477838877728E-05
