field.frameNumber,field.x_m,field.y_m,field.z_m,,,field.frameNumber,field.x_m,field.y_m,field.z_m
685930,0.1647791959616458,0.3082997590826654,0.47997103342074043,,,685930,0.1700282624350721,0.3177256638240792,0.11453195697953256
685931,0.16485642217529564,0.3083513319601958,0.4799728370847066,,,685931,0.17004429493534146,0.317728999742527,0.11453164579337265
685932,0.16492306190698958,0.30841769285026577,0.47997539265592576,,,685932,0.17005406710741655,0.3177361217016677,0.11453188315190665
685933,0.16497704625360848,0.308490345701685,0.4799749017132885,,,685933,0.1700675796593363,0.3177453055192466,0.11452921333037695
685934,0.1650147510992166,0.3085767573074238,0.47997615811407485,,,685934,0.1700730563164623,0.317756993407985,0.1145281374836346
685935,0.16504108021026434,0.30866863920365406,0.47997816027734685,,,685935,0.1700831764250843,0.31776306482341743,0.1145277701316437
685936,0.16504750483515934,0.3087645694541499,0.4799766413021779,,,685936,0.1700862840205458,0.3177792114866051,0.11452422866465385
685937,0.1650473450951382,0.3088678442353103,0.4799793990106242,,,685937,0.1700855682453976,0.31779133976090335,0.11452474176251559
685938,0.1650258392387419,0.3089712379889305,0.4799785419042843,,,685938,0.17008213723918694,0.3178018416277329,0.11452187790820301
685939,0.16499827701319594,0.3090777654689352,0.47999561853883793,,,685939,0.17004123431649146,0.3178162924820022,0.1145365569511977
685940,0.16495031504584834,0.3091871488101381,0.47999646125073403,,,685940,0.17003579660737306,0.3178263978654316,0.11453562857192615
685941,0.16489608840644385,0.30929342022718126,0.47999854041681966,,,685941,0.170023377599813,0.3178375190347032,0.11453605499549155
685942,0.16482788201716914,0.3093969209904256,0.4800029734437937,,,685942,0.170019443562065,0.3178458484786886,0.11453918278559015
685943,0.16475208507377842,0.3094939706071253,0.4800079580789448,,,685943,0.1700100414532385,0.3178585039197718,0.1145431753071804
685944,0.1646736941901144,0.3095856021038266,0.48000917409991606,,,685944,0.16999696844665696,0.317871446485688,0.1145435443844682
685945,0.16458654966098824,0.3096698791803648,0.4800131713601038,,,685945,0.1699860552656408,0.3178844016137251,0.1145470499074351
685946,0.16449545567536666,0.3097459020607702,0.48001265509932545,,,685946,0.16997364845812685,0.31789881639320294,0.1145463251030281
685947,0.1644019432785461,0.30981960710791784,0.48001481362463216,,,685947,0.1699600993292443,0.3179098138733369,0.1145482974770534
685948,0.16430573729740616,0.3098855616500596,0.48001641013939567,,,685948,0.16995173523362916,0.3179183787664094,0.11454997457284585
685949,0.16419626289991074,0.30994883818644314,0.4800146465002546,,,685949,0.1699357313746935,0.31792484042988767,0.11454842253546865
685950,0.1640851625423937,0.310009422474752,0.4800139853733677,,,685950,0.16992740104339665,0.3179336232481828,0.1145482629579277
685951,0.1639667487087491,0.3100639108156885,0.48000825375895406,,,685951,0.1699150363774767,0.31793936293000646,0.11454318826425491
685952,0.16385118901754347,0.3101164392305301,0.48000842602490196,,,685952,0.16989803100343376,0.31794059214982506,0.1145438760308802
685953,0.1637245773900731,0.3101635137077381,0.4800083275239587,,,685953,0.16987580882629116,0.31795224507910014,0.11454476301351074
685954,0.16359559692031575,0.3102031941848472,0.48000579612899696,,,685954,0.16985910401725385,0.3179604051443949,0.1145434682124041
685955,0.16345666854799812,0.3102399327189442,0.48000153254313926,,,685955,0.16983919275822956,0.31796336039784256,0.1145405482796556
685956,0.16331434989869759,0.3102706983338739,0.48000021679645544,,,685956,0.16982257208105078,0.31796890473759515,0.11454091724118305
685957,0.16316390417703405,0.3102988118120175,0.47999818587742576,,,685957,0.16980132367346645,0.3179668135664496,0.1145405749554995
685958,0.16300333674564135,0.3103231120426784,0.479995674492502,,,685958,0.16977898882564335,0.31797734190248794,0.11454031159111619
685959,0.16283644841286926,0.3103452226767258,0.4799911464393425,,,685959,0.16975629551786875,0.3179795717974494,0.11453806956245274
685960,0.16266968940369858,0.31035971082590064,0.47998993409450064,,,685960,0.16973132323560186,0.3179843464731601,0.11453936667380255
685961,0.16249707305794103,0.3103746861910751,0.47998693887530186,,,685961,0.16970900761529464,0.317983757791624,0.11453898225417394
685962,0.16232128352792308,0.31038141026807636,0.4799839222224971,,,685962,0.16968743491962066,0.31799113060641265,0.1145390550547033
685963,0.16214179567511056,0.3103852445248829,0.4799783833178682,,,685963,0.16966814000153008,0.3179916238665909,0.11453671067553
685964,0.16196032453599668,0.31038481444575083,0.47997523975931133,,,685964,0.1696393254214214,0.3179880734532534,0.1145366780733475
685965,0.16177903432548968,0.31038080667848844,0.4799734987350177,,,685965,0.16961463049371925,0.3179891832695239,0.1145383676822178
685966,0.16159814033848305,0.3103716624223273,0.47997165713442685,,,685966,0.1695900144240323,0.3179797826399092,0.11453990505943934
685967,0.1614131795681385,0.31035939517878686,0.4799656233392432,,,685967,0.1695667421374158,0.31798116282900446,0.11453772751770815
685968,0.1612240993455814,0.31034272974646515,0.47995952730139,,,685968,0.1695394157734734,0.31798327560454165,0.11453566855522905
685969,0.16103875810220208,0.31031970538601195,0.4799525397315005,,,685969,0.16952172789514725,0.31797080368642855,0.11453275525407375
685970,0.16085092049797114,0.31028648811280607,0.4799448976280015,,,685970,0.16949356384692724,0.31796733188819837,0.11452947879064529
685971,0.16066643699162386,0.3102510595871192,0.4799407841113816,,,685971,0.16946726982889754,0.31796186163893536,0.1145297719041306
685972,0.16048120498457108,0.31021077307323874,0.4799379696943396,,,685972,0.16944300946528196,0.31796068634946517,0.1145316973427281
685973,0.1602973374859133,0.3101601794482262,0.47992686544249186,,,685973,0.16942409363568367,0.31795754236253215,0.11452568533629015
