field.frameNumber,field.x_m,field.y_m,field.z_m
685930,0.171672061522104,0.320677482721178,9.09562299696853E-05
685931,0.171668916811856,0.320665687848525,9.0952774885189E-05
685932,0.171660873657102,0.320654246304224,9.09497141161064E-05
685933,0.171661665564595,0.320643469586358,9.09463437896996E-05
685934,0.171657025103509,0.320631712669968,9.09429875384782E-05
685935,0.171662054276653,0.32061088576376,9.09362703035987E-05
685936,0.171664065658804,0.32060194615129,9.09333956197744E-05
685937,0.171663173226763,0.32058552941319,9.09283836768582E-05
685938,0.171665353713347,0.320566860057521,9.09224978949963E-05
685939,0.171620465802104,0.320552813171538,9.09207796391809E-05
685940,0.171628324272583,0.32053179419039,9.09138383540231E-05
685941,0.171628996202642,0.320513116893999,9.09080379941085E-05
685942,0.171645227884458,0.320491706325633,9.09004881903264E-05
685943,0.171656670957922,0.320478017348852,9.08955991281712E-05
685944,0.171664055063925,0.320466319418411,9.089156065617E-05
685945,0.171677064778681,0.320457014107715,9.08879325302037E-05
685946,0.17168928929989,0.320452116972938,9.08857098914084E-05
685947,0.171700811942097,0.320443518366104,9.08823863758346E-05
685948,0.171719984675991,0.320434147377561,9.08783790026235E-05
685949,0.171733231247071,0.320422783066504,9.08741019581827E-05
685950,0.171757086686706,0.320415342607527,9.08704173168129E-05
685951,0.171777855563366,0.320405710240886,9.08662363454105E-05
685952,0.171791728484005,0.320390892439703,9.08608575491132E-05
685953,0.171802218219606,0.320391477845966,9.08604271105951E-05
685954,0.171820659768526,0.320389747290262,9.08588191047E-05
685955,0.171837977763587,0.32038206981845,9.08554421515939E-05
685956,0.17186073733008,0.320379734658931,9.0853396130075E-05
685957,0.171879952826631,0.320368188378129,9.08487152729287E-05
685958,0.171900916194002,0.320374413008186,9.08494142403682E-05
685959,0.171923351517032,0.320370385035189,9.08468649379879E-05
685960,0.171942822178776,0.320372161259,9.08462786932129E-05
685961,0.171967584998057,0.320366707454319,9.08431540037058E-05
685962,0.171994329680834,0.320374305082381,9.08439397333538E-05
685963,0.172025175553695,0.320373724094018,9.08419637885571E-05
685964,0.172044188476777,0.320369216125361,9.08394657768707E-05
685965,0.172068594389901,0.320371986193781,9.08388986222697E-05
685966,0.172092978535285,0.320362559402263,9.08345704778712E-05
685967,0.172120323601753,0.320368193581723,9.08347155881284E-05
685968,0.17214363817157,0.320376170791373,9.08358182039604E-05
685969,0.172178418715191,0.320366969547454,9.08309540554875E-05
685970,0.172200215956015,0.32037277327515,9.08314746186911E-05
685971,0.172223503090543,0.320376720491744,9.08313357359525E-05
685972,0.172249739196663,0.320387866283465,9.08332455604732E-05
685973,0.172282373880955,0.320399488659491,9.08349296836475E-05
685974,0.172303258547084,0.320416159891991,9.08388556065676E-05
685975,0.172334413505356,0.320420861005073,9.0838490980738E-05
685976,0.172366763444681,0.320427899306648,9.08387776812347E-05
685977,0.172395693588767,0.320441463251013,9.08412764874522E-05
685978,0.172413775844573,0.320453442794837,9.08439184432175E-05
685979,0.172430019205835,0.320474406021422,9.08494386295255E-05
685980,0.172465243300438,0.320475099514778,9.08476007870362E-05
685981,0.172491143404781,0.320492185541729,9.08513625152985E-05
685982,0.172515030629293,0.320500493445429,9.08525337808275E-05
685983,0.172550502252828,0.320510976045761,9.08537010790855E-05
685984,0.172576400107233,0.320519795457713,9.08549130083647E-05
685985,0.172596164852231,0.320529054834724,9.08566178955961E-05
685986,0.172628298553654,0.320530003429658,9.08550387535567E-05
685987,0.172644270313284,0.320544238994112,9.0858499537827E-05
685988,0.172663955766695,0.320552818790024,9.08599994192127E-05
685989,0.172691583412628,0.320558635288461,9.08601843081502E-05
685990,0.172722102282746,0.320567426896317,9.08611184927133E-05
685991,0.172745536456556,0.32057024018913,9.08606212738361E-05
685992,0.172768290729562,0.320568342988941,9.08587106538405E-05
685993,0.172797589237518,0.320573670733175,9.08586474555051E-05
685994,0.172819154157864,0.320571987232217,9.08568720321412E-05
685995,0.172839613904013,0.320571476448627,9.08555227212005E-05
685996,0.172866472506872,0.320574016069659,9.0854741616464E-05
685997,0.172895524108236,0.320569951555324,9.08517956528243E-05
685998,0.172911046381762,0.320560193681,9.08478815752067E-05
685999,0.172943529773275,0.320545308476159,9.08413979513467E-05
686000,0.172959617054225,0.320531937370024,9.08363364208187E-05
686001,0.172987834300757,0.320531874408937,9.08346733813348E-05
686002,0.173012660505942,0.320511066231202,9.08268087721487E-05
