%time,field.frameNumber,field.x_m,field.y_m,field.z_m
1.68972E+18,1359221,0.025750961,0.323730863,0
1.68972E+18,1359221,0.025474094,0.323842931,0
1.68972E+18,1359221,0.02555694,0.323823366,0
1.68972E+18,1359221,0.02556271,0.323838588,0
1.68972E+18,1359221,0.025374229,0.323897494,0
1.68972E+18,1359221,0.025351474,0.323889359,0
1.68972E+18,1359221,0.025365798,0.323879662,0
1.68972E+18,1359221,0.02557491,0.323824049,0
1.68972E+18,1359221,0.025701383,0.323764038,0
1.68972E+18,1359221,0.025500381,0.323853185,0
1.68972E+18,1359222,0.025553394,0.323819547,0
1.68972E+18,1359222,0.025599508,0.323774119,0
1.68972E+18,1359222,0.025541539,0.323753583,0
1.68972E+18,1359222,0.025448119,0.323762752,0
1.68972E+18,1359222,0.025563586,0.323709863,0
1.68972E+18,1359222,0.025613955,0.323706513,0
1.68972E+18,1359222,0.025715196,0.323714588,0
1.68972E+18,1359222,0.025509909,0.323825138,0
1.68972E+18,1359222,0.025522558,0.323843734,0
1.68972E+18,1359222,0.025529247,0.323831584,0
1.68972E+18,1359223,0.025637321,0.323791713,0
1.68972E+18,1359223,0.025698544,0.323733102,0
1.68972E+18,1359223,0.025869938,0.323639868,0
1.68972E+18,1359223,0.026036626,0.32357778,0
1.68972E+18,1359223,0.026059361,0.323581576,0
1.68972E+18,1359223,0.025988416,0.323587264,0
1.68972E+18,1359223,0.025804456,0.323655316,0
1.68972E+18,1359223,0.025823885,0.323650075,0
1.68972E+18,1359223,0.025709054,0.323694846,0
1.68972E+18,1359223,0.025725555,0.323677706,0
1.68972E+18,1359224,0.025561575,0.323770194,0
1.68972E+18,1359224,0.025640446,0.323741603,0
1.68972E+18,1359224,0.025719047,0.323718493,0
1.68972E+18,1359224,0.025503206,0.323803704,0
1.68972E+18,1359224,0.025623045,0.323759193,0
1.68972E+18,1359224,0.02553109,0.323786622,0
1.68972E+18,1359224,0.025718783,0.323729547,0
1.68972E+18,1359224,0.025709929,0.323724278,0
1.68972E+18,1359224,0.02571961,0.323732867,0
1.68972E+18,1359224,0.025858752,0.323653886,0
1.68972E+18,1359225,0.025777652,0.323688685,0
1.68972E+18,1359225,0.02587087,0.323647889,0
1.68972E+18,1359225,0.025808327,0.323662902,0
1.68972E+18,1359225,0.025953888,0.323602149,0
1.68972E+18,1359225,0.025992575,0.323583289,0
1.68972E+18,1359225,0.025987472,0.323612977,0
1.68972E+18,1359225,0.02607245,0.323570245,0
1.68972E+18,1359225,0.026016695,0.323598832,0
1.68972E+18,1359225,0.025995489,0.323629201,0
1.68972E+18,1359225,0.026173099,0.323559173,0
1.68972E+18,1359226,0.026143719,0.323596949,0
1.68972E+18,1359226,0.026170437,0.323592463,0
1.68972E+18,1359226,0.026245247,0.323556986,0
1.68972E+18,1359226,0.026071527,0.323610241,0
1.68972E+18,1359226,0.02645258,0.323435613,0
1.68972E+18,1359226,0.026203062,0.323517465,0
1.68972E+18,1359226,0.026319322,0.323471085,0
1.68972E+18,1359226,0.026316119,0.323486903,0
1.68972E+18,1359226,0.026128612,0.323590394,0
1.68972E+18,1359226,0.026185681,0.323583285,0
1.68972E+18,1359227,0.025811344,0.323733091,0
1.68972E+18,1359227,0.025905754,0.323678014,0
1.68972E+18,1359227,0.025946295,0.323645082,0
1.68972E+18,1359227,0.025925034,0.323673234,0
1.68972E+18,1359227,0.025967038,0.323663411,0
1.68972E+18,1359227,0.02575715,0.323776975,0
1.68972E+18,1359227,0.025895848,0.323740946,0
1.68972E+18,1359227,0.02573694,0.323811647,0
1.68972E+18,1359227,0.025490692,0.323916319,0
1.68972E+18,1359227,0.025518562,0.323852452,0
1.68972E+18,1359228,0.025512806,0.32386958,0
1.68972E+18,1359228,0.025705407,0.323784503,0
1.68972E+18,1359228,0.02565922,0.323816049,0
1.68972E+18,1359228,0.025459616,0.323910436,0
1.68972E+18,1359228,0.025592515,0.323864723,0
1.68972E+18,1359228,0.025519098,0.323894599,0
1.68972E+18,1359228,0.025471158,0.323899751,0
1.68972E+18,1359228,0.025349799,0.32393648,0
1.68972E+18,1359228,0.025497574,0.323903809,0
1.68972E+18,1359228,0.025703625,0.323835917,0
1.68972E+18,1359229,0.025514913,0.323943876,0
1.68972E+18,1359229,0.025377081,0.324010193,0
1.68972E+18,1359229,0.0253983,0.324003349,0
1.68972E+18,1359229,0.02539848,0.323999462,0
1.68972E+18,1359229,0.025447649,0.323957182,0
1.68972E+18,1359229,0.025349398,0.323981724,0
1.68972E+18,1359229,0.025543666,0.323882063,0
1.68972E+18,1359229,0.025680234,0.323862136,0
1.68972E+18,1359229,0.025406696,0.323988188,0
1.68972E+18,1359229,0.025427372,0.324000851,0
1.68972E+18,1359230,0.025373319,0.324023885,0
1.68972E+18,1359230,0.025432481,0.324017244,0
1.68972E+18,1359230,0.025397343,0.32400352,0
1.68972E+18,1359230,0.025336782,0.323995413,0
1.68972E+18,1359230,0.025523568,0.323914558,0
1.68972E+18,1359230,0.025553387,0.323933269,0
1.68972E+18,1359230,0.025557073,0.323925505,0
1.68972E+18,1359230,0.025257827,0.324040053,0
1.68972E+18,1359230,0.02535742,0.324006057,0
1.68972E+18,1359230,0.025337012,0.324021132,0
1.68972E+18,1359231,0.025315206,0.324026418,0
1.68972E+18,1359231,0.02516531,0.324079321,0
1.68972E+18,1359231,0.025192957,0.324047936,0
1.68972E+18,1359231,0.02536645,0.323988766,0
1.68972E+18,1359231,0.025329272,0.32399595,0
1.68972E+18,1359231,0.025188027,0.32406084,0
1.68972E+18,1359231,0.025219458,0.324043747,0
1.68972E+18,1359231,0.025425371,0.323977979,0
1.68972E+18,1359231,0.025409123,0.323997183,0
1.68972E+18,1359231,0.025388141,0.324002759,0
1.68972E+18,1359232,0.025288197,0.324023984,0
1.68972E+18,1359232,0.025471124,0.323956036,0
1.68972E+18,1359232,0.025683307,0.323875895,0
1.68972E+18,1359232,0.02554882,0.323905533,0
1.68972E+18,1359232,0.025556969,0.323908656,0
1.68972E+18,1359232,0.025571726,0.3238921,0
1.68972E+18,1359232,0.025707523,0.323865694,0
1.68972E+18,1359232,0.025578199,0.323896775,0
1.68972E+18,1359232,0.025553943,0.323913226,0
1.68972E+18,1359232,0.025543045,0.323896438,0
1.68972E+18,1359233,0.02573078,0.323848446,0
1.68972E+18,1359233,0.025677176,0.323851362,0
1.68972E+18,1359233,0.025495633,0.323944156,0
1.68972E+18,1359233,0.02562723,0.323876573,0
1.68972E+18,1359233,0.025502425,0.323945305,0
1.68972E+18,1359233,0.025674347,0.323882624,0
1.68972E+18,1359233,0.0254716,0.323983455,0
1.68972E+18,1359233,0.025592905,0.323950944,0
1.68972E+18,1359233,0.025651901,0.323948721,0
1.68972E+18,1359233,0.025737549,0.323928033,0
1.68972E+18,1359234,0.025611462,0.323970306,0
1.68972E+18,1359234,0.025749888,0.323901,0
1.68972E+18,1359234,0.025795237,0.323892342,0
1.68972E+18,1359234,0.02586822,0.323860361,0
1.68972E+18,1359234,0.025800831,0.323876661,0
1.68972E+18,1359234,0.025659792,0.323947113,0
1.68972E+18,1359234,0.025739036,0.323956189,0
1.68972E+18,1359234,0.025597315,0.324009753,0
1.68972E+18,1359234,0.025474296,0.324044955,0
1.68972E+18,1359234,0.025308399,0.324101398,0
1.68972E+18,1359235,0.025378465,0.324063758,0
1.68972E+18,1359235,0.025431438,0.324055377,0
1.68972E+18,1359235,0.02524654,0.324125084,0
1.68972E+18,1359235,0.025361483,0.324099456,0
1.68972E+18,1359235,0.025183642,0.324176858,0
1.68972E+18,1359235,0.025257559,0.32416614,0
1.68972E+18,1359235,0.025063463,0.324213151,0
1.68972E+18,1359235,0.025087733,0.324220861,0
1.68972E+18,1359235,0.025245498,0.324138846,0
1.68972E+18,1359235,0.025230086,0.324177152,0
1.68972E+18,1359236,0.025273399,0.324163188,0
1.68972E+18,1359236,0.025160422,0.324215573,0
1.68972E+18,1359236,0.025189128,0.324195615,0
1.68972E+18,1359236,0.025203589,0.324166495,0
1.68972E+18,1359236,0.025104453,0.324181307,0
1.68972E+18,1359236,0.025185029,0.324112494,0
1.68972E+18,1359236,0.025287139,0.324074647,0
1.68972E+18,1359236,0.025259671,0.32411826,0
1.68972E+18,1359236,0.025348921,0.324108116,0
1.68972E+18,1359236,0.025099737,0.324260732,0
1.68972E+18,1359237,0.025181924,0.324227711,0
1.68972E+18,1359237,0.025245741,0.324195197,0
1.68972E+18,1359237,0.025165835,0.324200195,0
1.68972E+18,1359237,0.02550503,0.324040244,0
1.68972E+18,1359237,0.025434517,0.324054597,0
1.68972E+18,1359237,0.025642739,0.323985137,0
1.68972E+18,1359237,0.025629755,0.324016364,0
1.68972E+18,1359237,0.025517894,0.324072768,0
1.68972E+18,1359237,0.025517327,0.324076649,0
1.68972E+18,1359237,0.025233997,0.324169016,0
1.68972E+18,1359238,0.025405609,0.324066434,0
1.68972E+18,1359238,0.025362222,0.324068484,0
1.68972E+18,1359238,0.025411337,0.324078283,0
1.68972E+18,1359238,0.025510814,0.3240212,0
1.68972E+18,1359238,0.025294017,0.324144283,0
1.68972E+18,1359238,0.025437093,0.324096903,0
1.68972E+18,1359238,0.025151865,0.324220136,0
1.68972E+18,1359238,0.025124408,0.324210801,0
1.68972E+18,1359238,0.025295055,0.324123208,0
1.68972E+18,1359238,0.025233513,0.324149831,0
1.68972E+18,1359239,0.02539467,0.324092152,0
1.68972E+18,1359239,0.025343001,0.324107382,0
1.68972E+18,1359239,0.025256236,0.324166702,0
1.68972E+18,1359239,0.025380144,0.324113422,0
1.68972E+18,1359239,0.025130626,0.324218361,0
1.68972E+18,1359239,0.025205149,0.324144781,0
1.68972E+18,1359239,0.025115467,0.324191185,0
1.68972E+18,1359239,0.025271555,0.324122725,0
1.68972E+18,1359239,0.025339552,0.324105998,0
1.68972E+18,1359239,0.025205204,0.32418576,0
