%time,field.frameNumber,field.x_m,field.y_m,field.z_m
1.68972E+18,1359221,0.032748087,0.337362277,2.78E-17
1.68972E+18,1359222,0.03279878,0.337370014,0
1.68972E+18,1359223,0.032982174,0.33726371,-2.78E-17
1.68972E+18,1359224,0.033019857,0.337262426,0
1.68972E+18,1359225,0.033069263,0.337255882,0
1.68972E+18,1359226,0.033114354,0.337255381,0
1.68972E+18,1359227,0.033152484,0.337251888,0
1.68972E+18,1359228,0.033198377,0.337243853,0
1.68972E+18,1359229,0.033242825,0.337237589,2.78E-17
1.68972E+18,1359230,0.033281623,0.337228487,0
1.68972E+18,1359231,0.033324054,0.337226681,0
1.68972E+18,1359232,0.033359882,0.337221491,0
1.68972E+18,1359233,0.033396734,0.337229664,0
1.68972E+18,1359234,0.033438931,0.337216492,5.55E-17
1.68972E+18,1359235,0.033469782,0.33721228,2.78E-17
1.68972E+18,1359236,0.033505141,0.3372129,0
1.68972E+18,1359237,0.03353485,0.337223365,1.67E-16
1.68972E+18,1359238,0.033574156,0.337216512,-2.78E-17
1.68972E+18,1359239,0.03360646,0.337219842,0
1.68972E+18,1359240,0.033638298,0.337215188,-2.78E-17
1.68972E+18,1359241,0.033677483,0.337203844,0
1.68972E+18,1359242,0.033722139,0.337194172,0
1.68972E+18,1359243,0.033774586,0.337185718,2.78E-17
1.68972E+18,1359244,0.033832361,0.337168845,0
1.68972E+18,1359245,0.033876806,0.337150354,0
1.68972E+18,1359246,0.033926413,0.337144637,0
1.68972E+18,1359247,0.033976667,0.33711998,0
1.68972E+18,1359248,0.034013832,0.337099657,0
1.68972E+18,1359249,0.034062939,0.337081661,0
1.68972E+18,1359250,0.034089087,0.337077268,-2.78E-17
1.68972E+18,1359251,0.03412128,0.337064677,0
1.68972E+18,1359252,0.034134034,0.337057848,0
1.68972E+18,1359253,0.034146544,0.33704416,0
1.68972E+18,1359254,0.034163931,0.337033215,0
1.68972E+18,1359255,0.03417068,0.337027474,2.78E-17
1.68972E+18,1359256,0.034164389,0.337025818,0
1.68972E+18,1359257,0.034172562,0.337026286,0
1.68972E+18,1359258,0.034165361,0.337018309,0
1.68972E+18,1359259,0.034152017,0.337015638,0
1.68972E+18,1359260,0.034146221,0.337004931,-1.39E-16
1.68972E+18,1359261,0.034135382,0.336998824,2.78E-17
1.68972E+18,1359262,0.034122779,0.336990416,-2.78E-17
