%time,field.frameNumber,field.markerNumber,field.occluded,field.x_m,field.y_m,field.z_m
1.68972E+18,1359221,9,0,0.029571081,0.323907816,0.068342822
1.68972E+18,1359222,9,0,0.029573973,0.323917283,0.068342083
1.68972E+18,1359223,9,0,0.029661846,0.323842018,0.068386726
1.68972E+18,1359224,9,0,0.029650663,0.32384581,0.06838769
1.68972E+18,1359225,9,0,0.029654962,0.323844243,0.068389525
1.68972E+18,1359226,9,0,0.029655982,0.323847907,0.068393848
1.68972E+18,1359227,9,0,0.02964739,0.323850672,0.068397227
1.68972E+18,1359228,9,0,0.029649723,0.323849158,0.068397275
1.68972E+18,1359229,9,0,0.029652072,0.323849373,0.068400367
1.68972E+18,1359230,9,0,0.029654019,0.323844304,0.068404294
1.68972E+18,1359231,9,0,0.029646538,0.323850273,0.068405235
1.68972E+18,1359232,9,0,0.02963961,0.323851594,0.068406684
1.68972E+18,1359233,9,0,0.029634646,0.323865269,0.068405141
1.68972E+18,1359234,9,0,0.029641556,0.32385715,0.068409543
1.68972E+18,1359235,9,0,0.02963953,0.323857458,0.06841013
1.68972E+18,1359236,9,0,0.029644146,0.32385956,0.06841363
1.68972E+18,1359237,9,0,0.029642053,0.323871328,0.068413106
1.68972E+18,1359238,9,0,0.029647403,0.323868912,0.068410042
1.68972E+18,1359239,9,0,0.029648144,0.323875028,0.068410145
1.68972E+18,1359240,9,0,0.029651724,0.323872297,0.068407579
1.68972E+18,1359241,9,0,0.029661967,0.323865135,0.068409664
1.68972E+18,1359242,9,0,0.029676244,0.323858276,0.068411482
1.68972E+18,1359243,9,0,0.029700093,0.323853017,0.068416635
1.68972E+18,1359244,9,0,0.029726301,0.323843591,0.068418004
1.68972E+18,1359245,9,0,0.029742541,0.323833879,0.068420343
1.68972E+18,1359246,9,0,0.029764629,0.32383498,0.068428583
1.68972E+18,1359247,9,0,0.029788474,0.323822077,0.068429434
1.68972E+18,1359248,9,0,0.029802627,0.323813834,0.068430377
1.68972E+18,1359249,9,0,0.029824279,0.323807516,0.068433405
1.68972E+18,1359250,9,0,0.029831473,0.323812517,0.068432924
1.68972E+18,1359251,9,0,0.029845293,0.323811826,0.068433096
1.68972E+18,1359252,9,0,0.029847779,0.323814381,0.068435643
1.68972E+18,1359253,9,0,0.029849988,0.323810953,0.068439231
1.68972E+18,1359254,9,0,0.02985979,0.323809543,0.068442835
1.68972E+18,1359255,9,0,0.029864218,0.32381097,0.068446551
1.68972E+18,1359256,9,0,0.029858119,0.323815322,0.068444545
1.68972E+18,1359257,9,0,0.029871505,0.323819495,0.068446615
1.68972E+18,1359258,9,0,0.029873005,0.323815567,0.068453245
1.68972E+18,1359259,9,0,0.029871828,0.323815271,0.068458916
1.68972E+18,1359260,9,0,0.029878655,0.323808254,0.068457812
1.68972E+18,1359261,9,0,0.029885672,0.323803996,0.068459142
1.68972E+18,1359262,9,0,0.029889343,0.323799292,0.068462968
1.68972E+18,1359263,9,0,0.029897744,0.323791424,0.068462868
1.68972E+18,1359264,9,0,0.029897941,0.32379573,0.068467373
1.68972E+18,1359265,9,0,0.029910113,0.323795585,0.068470866
1.68972E+18,1359266,9,0,0.029896211,0.323789633,0.06846678
1.68972E+18,1359267,9,0,0.029898368,0.32379833,0.068471246
1.68972E+18,1359268,9,0,0.029908341,0.323801874,0.068477011
1.68972E+18,1359269,9,0,0.029910921,0.323802004,0.068477756
1.68972E+18,1359270,9,0,0.029907473,0.323806054,0.068481065
1.68972E+18,1359271,9,0,0.029912002,0.323799389,0.068482063
1.68972E+18,1359272,9,0,0.029915167,0.323803933,0.068480779
1.68972E+18,1359273,9,0,0.029916205,0.323801051,0.068481279
1.68972E+18,1359274,9,0,0.029927251,0.32380406,0.068480831
1.68972E+18,1359275,9,0,0.029918026,0.323802678,0.068485243
1.68972E+18,1359276,9,0,0.029920312,0.323801058,0.068488653
1.68972E+18,1359277,9,0,0.029927981,0.323797143,0.068486055
1.68972E+18,1359278,9,0,0.029926056,0.323798158,0.068485294
1.68972E+18,1359279,9,0,0.02992127,0.323810292,0.068485759
1.68972E+18,1359280,9,0,0.029929005,0.323813068,0.068485711
1.68972E+18,1359281,9,0,0.029928061,0.323807362,0.068488666
1.68972E+18,1359282,9,0,0.029927858,0.323805307,0.068490968
1.68972E+18,1359283,9,0,0.029935006,0.323811115,0.068492345
1.68972E+18,1359284,9,0,0.029927568,0.323812808,0.068491384
1.68972E+18,1359285,9,0,0.029938502,0.323810871,0.068497737
1.68972E+18,1359286,9,0,0.029928654,0.323810841,0.068496578
1.68972E+18,1359287,9,0,0.02993232,0.323809899,0.068499108
1.68972E+18,1359288,9,0,0.02993619,0.323808523,0.068500995
1.68972E+18,1359289,9,0,0.029933445,0.323813596,0.068503205
1.68972E+18,1359290,9,0,0.029925019,0.323817222,0.06850038
1.68972E+18,1359291,9,0,0.029920231,0.323810928,0.068500143
1.68972E+18,1359292,9,0,0.029920042,0.3238096,0.068496332
1.68972E+18,1359293,9,0,0.029919556,0.323813319,0.068498634
