%time,field.frameNumber,field.x_m,field.y_m,field.z_m
,1359221,0.025521288,0.323834354,0
,1359222,0.025559701,0.323774142,0
,1359223,0.025835316,0.323658925,0
,1359224,0.025658548,0.323742039,0
,1359225,0.025964852,0.323615534,0
,1359226,0.026223631,0.323544138,0
,1359227,0.025795466,0.323749117,0
,1359228,0.025547082,0.323871585,0
,1359229,0.025454379,0.323962902,0
,1359230,0.025412621,0.323988064,0
,1359231,0.025299932,0.32402209,0
,1359232,0.025550285,0.323913434,0
,1359233,0.025616155,0.323915962,0
,1359234,0.025660448,0.323956008,0
,1359235,0.025248591,0.324143668,0
,1359236,0.025211149,0.324159643,0
,1359237,0.025407476,0.324103788,0
,1359238,0.025322593,0.324117956,0
,1359239,0.02526416,0.324144847,0
,1359240,0.025431985,0.324144115,0
,1359241,0.025141114,0.324243881,0
,1359242,0.025192167,0.324219242,0
,1359243,0.025467217,0.324163629,0
,1359244,0.025303703,0.3242669,0
,1359245,0.025007745,0.324419885,0
,1359246,0.025047107,0.324421682,0
,1359247,0.024976506,0.324443729,0
,1359248,0.024982793,0.324469528,0
,1359249,0.025153674,0.324421186,0
,1359250,0.025303605,0.324396629,0
,1359251,0.025279475,0.324472047,0
,1359252,0.025095859,0.32457755,0
,1359253,0.02498236,0.324595555,0
,1359254,0.02524491,0.324472491,0
,1359255,0.025285764,0.324483304,0
,1359256,0.025207112,0.324548387,0
,1359257,0.025281303,0.324568359,0
,1359258,0.025344884,0.324555331,0
,1359259,0.025175834,0.324652334,0
,1359260,0.025311414,0.324618605,0
,1359261,0.025223084,0.324677039,0
,1359262,0.025299008,0.32469094,0
,1359263,0.025340649,0.324702145,0
,1359264,0.025481914,0.324679249,0
,1359265,0.025412298,0.324737126,0
,1359266,0.025410898,0.32478137,0
,1359267,0.025214708,0.324876643,0
,1359268,0.025100756,0.324931809,0
,1359269,0.025297483,0.324875437,0
,1359270,0.025391962,0.324914053,0
,1359271,0.025193634,0.325043107,0
,1359272,0.02516093,0.325046527,0
,1359273,0.025450267,0.324988232,0
,1359274,0.0253222,0.325089836,0
,1359275,0.025371004,0.325105668,0
,1359276,0.025262506,0.325165132,0
,1359277,0.025267775,0.325257638,0
,1359278,0.025276037,0.325262362,0
,1359279,0.025380327,0.325237735,0
,1359280,0.025477743,0.325264558,0
,1359281,0.025433739,0.325325535,0
,1359282,0.025462371,0.325328396,0
,1359283,0.02555463,0.325308923,0
,1359284,0.025716649,0.325280473,0
,1359285,0.025685599,0.325359269,0
,1359286,0.025394778,0.325492322,0
,1359287,0.025315931,0.325513562,0
,1359288,0.025481772,0.325435213,0
,1359289,0.025621085,0.32542899,0
,1359290,0.025536537,0.325515105,0
,1359291,0.025180406,0.32567253,0
,1359292,0.025514613,0.325563943,0
,1359293,0.025806043,0.32546877,0
,1359294,0.026059315,0.325448529,0
,1359295,0.025924583,0.325533632,0
,1359296,0.025894203,0.325561739,0
,1359297,0.025985921,0.325533029,0
,1359298,0.02596583,0.325565884,0
,1359299,0.025924054,0.325596234,0
,1359300,0.026063387,0.325577827,0
,1359301,0.025953446,0.32566029,0
,1359302,0.025947903,0.325693317,0
,1359303,0.025651879,0.325861269,0
,1359304,0.025516303,0.325870838,0
,1359305,0.025658529,0.325789409,0
,1359306,0.02589561,0.325723043,0
,1359307,0.025878501,0.325743847,0
,1359308,0.0261311,0.325668319,0
,1359309,0.026063996,0.325716187,0
,1359310,0.026250806,0.32568066,0
,1359311,0.026349666,0.325677311,0
,1359312,0.02600786,0.325871301,0
,1359313,0.025764217,0.325971171,0
,1359314,0.025730451,0.325977742,0
,1359315,0.025883994,0.325909223,0
,1359316,0.026247984,0.325761587,0
,1359317,0.026444035,0.325664608,0
,1359318,0.026513581,0.325659738,0
,1359319,0.026552711,0.325651134,0
,1359320,0.026769714,0.325571657,0
,1359321,0.026910679,0.325560836,0
,1359322,0.026991774,0.325602457,0
,1359323,0.026871244,0.32570674,0
,1359324,0.026821932,0.32578651,0
,1359325,0.026427731,0.325990448,0
,1359326,0.026330821,0.326039388,0
,1359327,0.026251313,0.32604754,0
,1359328,0.026504513,0.325912946,0
,1359329,0.026973993,0.325690637,0
,1359330,0.027093474,0.325664116,0
,1359331,0.027020198,0.325748935,0
,1359332,0.026786226,0.325899991,0
,1359333,0.026468914,0.325997515,0
,1359334,0.026436438,0.325977594,0
,1359335,0.026627445,0.32589102,0
,1359336,0.026787521,0.32581556,0
,1359337,0.027022235,0.325727739,0
,1359338,0.026946893,0.3258016,0
,1359339,0.027115627,0.325761057,0
,1359340,0.026906485,0.325848634,0
,1359341,0.026912373,0.325885568,0
,1359342,0.026631631,0.325994246,0
,1359343,0.026676448,0.325919411,0
,1359344,0.026829393,0.325820886,0
,1359345,0.02710821,0.325693898,0
,1359346,0.027380013,0.325561803,0
,1359347,0.027634921,0.325450627,0
,1359348,0.027570173,0.325515614,0
,1359349,0.027483399,0.325572522,0
,1359350,0.027339165,0.325631652,0
,1359351,0.027367361,0.325620701,0
,1359352,0.027186906,0.325694113,0
,1359353,0.027141985,0.325729799,0
,1359354,0.026988592,0.325799356,0
,1359355,0.026739196,0.325842505,0
,1359356,0.026805245,0.325778053,0
,1359357,0.027047038,0.325621774,0
,1359358,0.026971765,0.325632173,0
,1359359,0.027153865,0.325532898,0
,1359360,0.027183146,0.325491451,0
,1359361,0.027482717,0.325369001,0
,1359362,0.027786753,0.325240759,0
,1359363,0.027601059,0.325346999,0
,1359364,0.027513156,0.325368595,0
,1359365,0.027577211,0.325330482,0
